,Country,Institute,Site,Latitude,Longitude,Altitude,Plantation,Year,Cultivar,Clone,Rootstock,Beginning.of.flowering.(date),Full.Flowering.(date),End.of.flowering.(date),Beginning.of.Maturity.(date),Beginning.of.flowering,Full.Flowering,End.of.flowering,Beginning.of.Maturity,Flowering.duration,dynamic_chill_total,gdd_total,frost_days_total,temp_media_30d,temp_max_30d,temp_min_30d,precip_total,rad_media
0,France,Ctifl,Balandran,43.76,4.46,52,1982.0,1987,Verdel Ferbolus,V1360,,41381.0,41383.0,,,106,108.0,,,,116.57883390713978,188.32,50.0,8.690000000000001,13.987999999999998,3.8636666666666666,313.46,9.810377358490566
1,France,Ctifl,Balandran,43.76,4.46,52,1991.0,1993,Napoleon Compact,V2850,,41377.0,,,,102,,,,,117.30743729417856,298.06000000000006,31.0,10.265666666666666,16.464666666666666,5.019,112.04999999999998,10.897941176470585
2,France,Ctifl,Balandran,43.76,4.46,52,1994.0,1996,Rubin,V2775,,41377.0,41379.0,,,102,104.0,,,,112.95444184898815,219.68499999999997,32.0,8.506333333333334,14.308000000000002,3.1903333333333337,467.65000000000003,10.122450980392157
3,France,Ctifl,Balandran,43.76,4.46,52,1984.0,1988,Sam,V1264,,41375.0,41377.0,,,100,102.0,,,,112.89679281701649,235.27000000000004,23.0,9.302999999999999,15.099999999999996,4.303666666666667,244.33,10.151499999999999
4,France,Ctifl,Balandran,43.76,4.46,52,1985.0,1988,Hedelfingen,V1877,,41373.0,41375.0,,,98,100.0,,,,111.90248227308909,222.52000000000004,23.0,8.766666666666667,14.664666666666664,3.713,241.85000000000002,10.033673469387754
5,France,Ctifl,Balandran,43.76,4.46,52,1984.0,1988,Reverchon,V1814,,41372.0,41376.0,,,97,101.0,,,,111.90248227308909,216.27000000000004,23.0,8.520666666666667,14.407666666666664,3.5136666666666665,238.83,9.974329896907216
6,France,Ctifl,Balandran,43.76,4.46,52,1985.0,1988,Knuthenborg,V2508,,41371.0,41375.0,,,96,100.0,,,,110.89639270422978,210.41000000000003,23.0,8.315,14.291333333333332,3.2826666666666666,223.87,9.954479166666665
7,France,Ctifl,Balandran,43.76,4.46,52,1992.0,1995,Kavics,V2978,,41371.0,41375.0,,,96,100.0,,,,110.85967542747827,227.36,32.0,8.374,14.679666666666668,2.5863333333333336,117.65,10.770312500000001
8,France,Ctifl,Balandran,43.76,4.46,52,1994.0,1995,Margit,V2932,,41371.0,,,,96,,,,,110.85967542747827,227.36,32.0,8.374,14.679666666666668,2.5863333333333336,117.65,10.770312500000001
9,France,Ctifl,Balandran,43.76,4.46,52,1985.0,1988,Bouarkoub,V2416,,41367.0,41376.0,,41427.0,92,101.0,,,,108.13188655306786,193.00500000000002,23.0,7.524,13.597000000000001,2.548666666666667,199.80000000000004,9.992934782608694
10,France,Ctifl,Balandran,43.76,4.46,52,1991.0,1995,Annelone,V2878,,41367.0,41375.0,,41444.0,92,100.0,,,,109.84666888982785,194.25,32.0,7.134666666666667,13.286666666666667,1.4366666666666665,117.17,10.485434782608696
11,France,Ctifl,Balandran,43.76,4.46,52,1987.0,1995,Lodi Large Red,V2485,,41365.0,41369.0,,,90,94.0,,,,109.25395156454466,179.85,32.0,6.7890000000000015,12.865999999999998,1.1510000000000002,117.17,10.271222222222223
